property_name,channel,course_name,play_date,time_of_day,2026-04-18,2026-04-20,2026-04-21,2026-04-22,2026-04-24,2026-04-26,2026-04-27,2026-04-28,2026-04-29,2026-04-30,2026-05-01,2026-05-04,2026-05-05,2026-05-09,2026-05-11,2026-05-12,2026-05-13,2026-05-14,2026-05-15,2026-05-16,2026-05-17,2026-05-18,2026-05-19,2026-05-24,2026-05-25,2026-05-26,2026-05-27,2026-05-28,2026-05-29,2026-05-30,2026-05-31,2026-06-01,2026-06-02,2026-06-03,2026-06-04
소노펠리체CC 괌 망길라오,AGL,레오팔레스 리조트 CC,2026-04-18,최저가,203300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,레오팔레스 리조트 CC,2026-04-20,최저가,,204300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,레오팔레스 리조트 CC,2026-04-21,최저가,,,203700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,레오팔레스 리조트 CC,2026-04-22,최저가,,,,203000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,레오팔레스 리조트 CC,2026-04-24,최저가,,,,,204400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,레오팔레스 리조트 CC,2026-04-26,최저가,,,,,,204400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,레오팔레스 리조트 CC,2026-04-27,최저가,,,,,,,204700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,레오팔레스 리조트 CC,2026-04-28,최저가,,,,,,,,203300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,레오팔레스 리조트 CC,2026-04-29,최저가,,,,,,,,,203400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,레오팔레스 리조트 CC,2026-04-30,최저가,,,,,,,,,,203800.0,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,레오팔레스 리조트 CC,2026-05-01,최저가,,,,,,,,,,,203800.0,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,레오팔레스 리조트 CC,2026-05-04,최저가,,,,,,,,,,,,205000.0,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,레오팔레스 리조트 CC,2026-05-05,최저가,,,,,,,,,,,,,205000.0,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,망길라오 골프 클럽,2026-04-18,최저가,291600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,망길라오 골프 클럽,2026-04-20,최저가,,293100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,망길라오 골프 클럽,2026-04-21,최저가,,,292200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,망길라오 골프 클럽,2026-04-22,최저가,,,,291300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,망길라오 골프 클럽,2026-04-24,최저가,,,,,293200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,망길라오 골프 클럽,2026-04-26,최저가,,,,,,293200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,망길라오 골프 클럽,2026-04-27,최저가,,,,,,,293700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,망길라오 골프 클럽,2026-04-28,최저가,,,,,,,,291700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,망길라오 골프 클럽,2026-04-29,최저가,,,,,,,,,291800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,망길라오 골프 클럽,2026-04-30,최저가,,,,,,,,,,292300.0,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,망길라오 골프 클럽,2026-05-01,최저가,,,,,,,,,,,292300.0,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,망길라오 골프 클럽,2026-05-04,최저가,,,,,,,,,,,,294000.0,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,AGL,망길라오 골프 클럽,2026-05-05,최저가,,,,,,,,,,,,,294000.0,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-04-18,최저가,301113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-04-20,최저가,,301329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-04-21,최저가,,,300385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-04-22,최저가,,,,299319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-04-24,최저가,,,,,300231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-04-26,최저가,,,,,,300816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-04-27,최저가,,,,,,,300563.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-04-28,최저가,,,,,,,,300503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-04-29,최저가,,,,,,,,,300718.0,,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-04-30,최저가,,,,,,,,,,299398.0,,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-01,최저가,,,,,,,,,,,300954.0,,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-04,최저가,,,,,,,,,,,,300502.0,,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-05,최저가,,,,,,,,,,,,,300106.0,,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-09,최저가,,,,,,,,,,,,,,299677.0,,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-11,최저가,,,,,,,,,,,,,,,300819.0,,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-12,최저가,,,,,,,,,,,,,,,,300355.0,,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-13,최저가,,,,,,,,,,,,,,,,,300008.0,,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-14,최저가,,,,,,,,,,,,,,,,,,300550.0,,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-15,최저가,,,,,,,,,,,,,,,,,,,300371.0,,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-16,최저가,,,,,,,,,,,,,,,,,,,,300635.0,,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-17,최저가,,,,,,,,,,,,,,,,,,,,,300557.0,,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-18,최저가,,,,,,,,,,,,,,,,,,,,,,300494.0,,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-19,최저가,,,,,,,,,,,,,,,,,,,,,,,301589.0,,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-24,최저가,,,,,,,,,,,,,,,,,,,,,,,,299766.0,,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-25,최저가,,,,,,,,,,,,,,,,,,,,,,,,,300293.0,,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-26,최저가,,,,,,,,,,,,,,,,,,,,,,,,,,300528.0,,,,,,,,,
소노펠리체CC 괌 망길라오,KKday,망길라오 골프 클럽,2026-05-27,최저가,,,,,,,,,,,,,,,,,,,,,,,,,,,300397.0,,,,,,,,
