수집일시,소노사업장,사업장ID,경쟁사명,OTA,체크인,체크아웃,객실유형,판매가(원),통화,판매상태,URL,오류,is_own,is_promo,별점(10점),리뷰수
2026-04-16 06:24:17,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-17,2026-04-18,스위트,230000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-17&checkOutDate=2026-04-18,,True,False,4.7,731
2026-04-16 06:24:17,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-17,2026-04-18,소노캄A,289000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-17&checkOutDate=2026-04-18,,True,False,4.7,731
2026-04-16 06:24:17,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-17,2026-04-18,소노캄B,324000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-17&checkOutDate=2026-04-18,,True,False,4.7,731
2026-04-16 06:24:17,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-17,2026-04-18,패밀리,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-17&checkOutDate=2026-04-18,,True,False,4.7,731
2026-04-16 06:24:20,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-18,2026-04-19,소노캄A,329000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-18&checkOutDate=2026-04-19,,True,False,4.7,731
2026-04-16 06:24:20,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-18,2026-04-19,소노캄B,382000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-18&checkOutDate=2026-04-19,,True,False,4.7,731
2026-04-16 06:24:20,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-18,2026-04-19,스위트,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-18&checkOutDate=2026-04-19,,True,False,4.7,731
2026-04-16 06:24:20,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-18,2026-04-19,패밀리,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-18&checkOutDate=2026-04-19,,True,False,4.7,731
2026-04-16 06:24:23,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-19,2026-04-20,패밀리,179000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-19&checkOutDate=2026-04-20,,True,False,4.7,731
2026-04-16 06:24:23,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-19,2026-04-20,스위트,206000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-19&checkOutDate=2026-04-20,,True,False,4.7,731
2026-04-16 06:24:23,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-19,2026-04-20,소노캄A,262000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-19&checkOutDate=2026-04-20,,True,False,4.7,731
2026-04-16 06:24:23,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-19,2026-04-20,소노캄B,298000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-19&checkOutDate=2026-04-20,,True,False,4.7,731
2026-04-16 06:24:25,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-20,2026-04-21,패밀리,179000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-20&checkOutDate=2026-04-21,,True,False,4.7,731
2026-04-16 06:24:25,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-20,2026-04-21,스위트,206000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-20&checkOutDate=2026-04-21,,True,False,4.7,731
2026-04-16 06:24:25,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-20,2026-04-21,소노캄A,262000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-20&checkOutDate=2026-04-21,,True,False,4.7,731
2026-04-16 06:24:25,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-20,2026-04-21,소노캄B,298000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-20&checkOutDate=2026-04-21,,True,False,4.7,731
2026-04-16 06:24:27,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-21,2026-04-22,패밀리,179000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-21&checkOutDate=2026-04-22,,True,False,4.7,731
2026-04-16 06:24:27,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-21,2026-04-22,스위트,206000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-21&checkOutDate=2026-04-22,,True,False,4.7,731
2026-04-16 06:24:27,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-21,2026-04-22,소노캄A,262000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-21&checkOutDate=2026-04-22,,True,False,4.7,731
2026-04-16 06:24:27,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-21,2026-04-22,소노캄B,298000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-21&checkOutDate=2026-04-22,,True,False,4.7,731
